transaction_id,user_id,amount,transaction_type,transaction_status,transaction_status,meta_data,created_at,updated_at
2333da83-bd72-405c-85cf-cc894bc1e1ab,,-50.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': 'bce27f46-da8a-478f-a4e8-eed594433fbf'},2024-04-18 07:49:53.830162,
3f2d8649-f721-4307-91b1-4b8f81a9b680,,-50.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': 'bce27f46-da8a-478f-a4e8-eed594433fbf'},2024-04-18 07:49:45.100358,
84d0708a-09db-44f6-b430-22d3b2274a9d,,-30.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': 'fa1fcc77-4615-4787-b878-e7ba89864b71'},2024-04-17 13:40:52.609804,
f8f4d779-4deb-4137-b137-7b97381af727,,-30.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': 'fa1fcc77-4615-4787-b878-e7ba89864b71'},2024-04-17 13:40:47.433376,
2f63046e-3af2-4360-99af-c94c44af740b,,-30.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': 'fa1fcc77-4615-4787-b878-e7ba89864b71'},2024-04-17 13:40:46.239984,
1a322e71-e899-4c66-9d19-8ead83f5937a,,-30.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': 'fa1fcc77-4615-4787-b878-e7ba89864b71'},2024-04-17 13:40:36.408483,
80ceb6ac-082a-4828-b13a-c80bc91034fe,,90.0,TransactionTypeEnum.WON_MONEY,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': 'e2996022-4877-4446-b841-e97c0d268a1b'},2024-04-17 13:23:57.917555,
798db150-a2d8-4524-bc46-4173abc07bd6,,68.0,TransactionTypeEnum.WON_MONEY,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': '3d8f7589-e244-4d9c-9fca-870e7e30248e'},2024-04-17 13:23:45.950382,
66a8850e-a3e8-499e-b398-64911b1b96fd,,158.0,TransactionTypeEnum.WON_MONEY,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': '3d8f7589-e244-4d9c-9fca-870e7e30248e'},2024-04-17 13:23:42.763160,
1e84ced9-f507-4faf-864e-fee96275c289,,36.0,TransactionTypeEnum.WON_MONEY,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': '2e5480b6-895c-4b93-a25e-be05177fc59a'},2024-04-17 13:18:02.661053,
6fd76a33-1537-4118-af91-a751bea66e28,,54.0,TransactionTypeEnum.WON_MONEY,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': '23b8794d-85ae-482f-bde7-49a023651078'},2024-04-17 13:17:53.164753,
c9e7fb78-56d0-449e-890e-2050877f01ef,,126.0,TransactionTypeEnum.WON_MONEY,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': '23b8794d-85ae-482f-bde7-49a023651078'},2024-04-17 13:17:49.707764,
5a6c9b55-a4fc-4b02-bdee-cf350802644e,,-50.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': 'c2ce1b28-ff0f-4577-95f0-cbe2d49b52b0'},2024-04-17 12:37:51.558318,
7e989ae0-7f46-4151-af3f-974fa56b63b1,,-50.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': 'c2ce1b28-ff0f-4577-95f0-cbe2d49b52b0'},2024-04-17 12:37:44.698088,
6328c45e-f0b4-4de8-b8db-e4d3ec4d169e,,-50.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': 'c2ce1b28-ff0f-4577-95f0-cbe2d49b52b0'},2024-04-17 12:36:20.567518,
39aa0b98-88dd-43ce-8c34-50ab1e1a6e30,,-50.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': '7ae5fda1-4583-43dc-8763-e3327c025f47'},2024-04-17 12:04:44.193734,
c5d8dced-00c5-4e05-8597-a9012322ad4b,,-50.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': '7ae5fda1-4583-43dc-8763-e3327c025f47'},2024-04-17 12:04:20.708178,
14440b35-c1de-494f-a047-4a5f048f420c,,-50.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': '7ae5fda1-4583-43dc-8763-e3327c025f47'},2024-04-17 12:03:59.027252,
596927bd-ceb2-4537-bb33-8058e7b43153,,-50.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': '6a3a0d47-c44b-4fdc-8622-c280692a562e'},2024-04-17 11:50:27.905945,
776a917e-6fcf-4a9b-b56d-1e5a7271da7d,,-50.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': '6a3a0d47-c44b-4fdc-8622-c280692a562e'},2024-04-17 11:50:11.081068,
6072f0d6-d438-4da5-9657-47328d228fcc,,-50.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': '6a3a0d47-c44b-4fdc-8622-c280692a562e'},2024-04-17 11:49:55.597962,
df4270f4-eafc-47d4-947d-4c0fe5705bc9,,50.0,TransactionTypeEnum.CANCELLED_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': '3a05e9af-3869-417e-97a8-c6d60aad4117'},2024-04-17 11:35:19.699784,
d182e5fd-9eb5-4593-90fb-21c675f41158,,-50.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': '7f1008f8-117c-4389-9f82-e2632f389eac'},2024-04-17 11:28:48.497799,
286e6006-6b66-4eb3-a799-cd7a6a7b5747,,-50.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': '7f1008f8-117c-4389-9f82-e2632f389eac'},2024-04-17 11:28:34.438389,
